1, 1,  0.998, -0.002
2, 1,  0.99, -0.01 
3, 1,  0.99, -0.01 
4, 1,  0.988, -0.012
5, 1,  0.986, -0.013
6, 1,  0.99, -0.009
7, 0.999, 0.992, -0.007
8, 0.999, 0.988, -0.011
9, 0.999, 0.997, -0.002
10, 0.999, 0.987, -0.012
11, 0.999, 0.99, -0.009
12, 0.999, 0.987, -0.012
13, 0.999, 0.987, -0.011
14, 0.999, 0.995, -0.004
15, 0.999, 0.989, -0.01 
16, 0.999, 0.988, -0.01 
17, 0.998, 0.985, -0.014
18, 0.998, 0.991, -0.007
19, 0.998, 0.989, -0.009
20, 0.998, 0.989, -0.009
21, 0.998, 0.986, -0.012
22, 0.998, 0.989, -0.009
23, 0.998, 0.99, -0.008
24, 0.998, 0.989, -0.009
25, 0.998, 0.989, -0.008
26, 0.998, 0.996, -0.002
27, 0.997, 0.986, -0.011
28, 0.997, 0.985, -0.013
29, 0.997, 0.989, -0.009
30, 0.997, 0.98, -0.017
31, 0.997, 0.986, -0.011
32, 0.997, 0.988, -0.009
