1, 1, 0.837, -0.163
2, 0.968, 0.887, -0.081
3, 0.935, 0.754, -0.182
4, 0.903, 0.667, -0.236
5, 0.871, 0.756, -0.115
6, 0.839, 0.722, -0.117
7, 0.806, 0.871, 0.065
8, 0.774, 0.711, -0.063
9, 0.742, 0.676, -0.066
10, 0.71, 0.716, 0.006
11, 0.677, 0.614, -0.063
12, 0.645, 0.555, -0.091
13, 0.613, 0.493, -0.12
14, 0.581, 0.499, -0.082
15, 0.548, 0.591, 0.043
16, 0.516, 0.528, 0.012
17, 0.484, 0.732, 0.248
18, 0.452, 0.64, 0.189
19, 0.419, 0.479, 0.06
20, 0.387, 0.485, 0.098
21, 0.355, 0.537, 0.182
22, 0.323, 0.542, 0.22
23, 0.29, 0.368, 0.078
24, 0.258, 0.394, 0.136
25, 0.226, 0.296, 0.07
26, 0.194, 0.191, -0.002
27, 0.161, 0.442, 0.281
28, 0.129, 0.153, 0.024
29, 0.097, 0.108, 0.011
30, 0.065, -0.047, -0.111
31, 0.032, -0.045, -0.077
32, 0, -0.154, -0.154
